,Unnamed: 0,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country,genre
2048,2048,80992232,TV Show,Bitter Daisies,Spain,"March 29, 2019",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","While investigating the disappearance of a teen girl in a tight-knit Galician town, a Civil Guard officer uncovers secrets linked to a loss of her own.",2019,March,Adults,Spain,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2049,2049,80189898,TV Show,Osmosis,France,"March 29, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","In near-future Paris, two brilliant siblings unveil a high-tech implant designed to pair up soul mates. But the beta test yields unwelcome surprises.",2019,March,Adults,France,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
2053,2053,81049739,TV Show,The Terminal,United States,"March 29, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","Social pressure, a complicated past and a clash of values beset the life of a businessman and his family.",2019,March,Teens,United States,"['International TV Shows', 'TV Dramas']"
2054,2054,80223793,TV Show,Traitors,United Kingdom,"March 29, 2019",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","As World War II ends, a young English woman agrees to help an enigmatic American agent root out Russian infiltration of the British government.",2019,March,Adults,United Kingdom,"['British TV Shows', 'International TV Shows', 'TV Dramas']"
2057,2057,81012998,TV Show,All American,United States,"March 28, 2019",2019,TV-14,1 Season,"TV Dramas, Teen TV Shows",Culture clashes and brewing rivalries test a teen football player from South Los Angeles when he’s recruited to the Beverly Hills High School team.,2019,March,Teens,United States,"['TV Dramas', 'Teen TV Shows']"
2058,2058,80127927,TV Show,Ollie & Moon,France,"March 28, 2018",2018,TV-Y,1 Season,Kids' TV,"Two quirky cats, Ollie and Moon, and their friend Stanley the snail travel the world, solving everyday problems and learning about different cultures.",2018,March,Kids,France,"[""Kids' TV""]"
2063,2063,80213803,TV Show,James Acaster: Repertoire,United Kingdom,"March 27, 2018",2018,TV-14,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows","Offbeat comic James Acaster covers the strange, the mundane and everything in between in this collection of four wide-ranging stand-up specials.",2018,March,Teens,United Kingdom,"['British TV Shows', 'International TV Shows', 'Stand-Up Comedy & Talk Shows']"
2068,2068,81049479,TV Show,The Eagle of El-Se'eed,United States,"March 25, 2019",2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","A police officer and a drug lord become embroiled in a cycle of revenge, each man bent on taking the other down.",2019,March,Teens,United States,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
2076,2076,70251816,TV Show,"Drugs, Inc.",United States,"March 23, 2019",2015,TV-MA,1 Season,"Crime TV Shows, Docuseries","This absorbing documentary series follows the entire supply chain of the illicit drug trade, tracing its production, export, sale and consumption.",2019,March,Adults,United States,"['Crime TV Shows', 'Docuseries']"
2079,2079,80222788,TV Show,Day and Night,China,"March 23, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A detective assists with an investigation into a brutal mass murder case in which his twin brother is the prime suspect.,2018,March,Adults,China,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2084,2084,80184068,TV Show,Requiem,United Kingdom,"March 23, 2018",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Dramas","In the wake of a sudden tragedy, a London cellist unearths secrets that link her mother to the disappearance of a young girl in a small Welsh town.",2018,March,Adults,United Kingdom,"['British TV Shows', 'International TV Shows', 'TV Dramas']"
2088,2088,80189632,TV Show,Charlie's Colorforms City,United States,"March 22, 2019",2019,TV-Y,1 Season,Kids' TV,"Charlie creates fun stories using different shapes, and he needs your help! Take off for adventures in outer space, the Wild West – and right at home.",2019,March,Kids,United States,"[""Kids' TV""]"
2089,2089,80230265,TV Show,Crime Diaries: The Candidate,Mexico,"March 22, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it. Based on true events.",2019,March,Adults,Mexico,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']"
2090,2090,81076756,TV Show,Delhi Crime,India,"March 22, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","As Delhi reels in the aftermath of a gang rape, DCP Vartika Chaturvedi leads a painstaking search for the culprits. Based on the 2012 Nirbhaya case.",2019,March,Adults,India,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2092,2092,80208298,TV Show,Most Beautiful Thing,Brazil,"March 22, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","A 1950s housewife goes to Rio de Janeiro to meet up with her husband, only to learn he's deserted her, but decides to stay and open a bossa nova club.",2019,March,Adults,Brazil,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
2094,2094,80223108,TV Show,Selling Sunset,United States,"March 22, 2019",2019,TV-MA,1 Season,Reality TV,The elite real estate brokers at The Oppenheim Group sell the luxe life to affluent buyers in LA. The drama ramps up when a new agent joins the team.,2019,March,Adults,United States,['Reality TV']
2095,2095,81049348,TV Show,The 10 Sins,United States,"March 22, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","In this social drama of sin and remorse, a man reels at the discovery that his wife has been unfaithful, and gives her an ultimatum.",2019,March,Teens,United States,"['International TV Shows', 'TV Dramas']"
2099,2099,70230412,TV Show,Bo on the Go!,Canada,"March 21, 2019",2007,TV-Y,1 Season,Kids' TV,"Staying at home doesn't mean sitting still for energetic Bo and her little dragon friend Dezzy, who embark on amazing adventures through movement.",2019,March,Kids,Canada,"[""Kids' TV""]"
2100,2100,80220655,TV Show,Stay Tuned!,Japan,"March 21, 2019",2019,TV-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","She's the most unlikely candidate to ever stumble into the role of a reporter, and she’s keeping everyone on their toes with her eccentric ways.",2019,March,Teens,Japan,"['International TV Shows', 'TV Comedies', 'TV Dramas']"
2109,2109,80171965,TV Show,Dave Chappelle,United States,"March 21, 2017",2017,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",2017,March,Adults,United States,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
2114,2114,81049315,TV Show,Feb-09,United States,"March 20, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy.",2019,March,Teens,United States,"['International TV Shows', 'TV Dramas']"
2116,2116,81002451,TV Show,My Husband Won't Fit,Japan,"March 20, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Kumiko and Kenichi meet in college and build a happy marriage together. But over time, an unusual problem threatens to destroy their relationship.",2019,March,Adults,Japan,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
2118,2118,80170245,TV Show,Juana Brava,Chile,"March 20, 2017",2015,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality.",2017,March,Adults,Chile,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']"
2119,2119,80117291,TV Show,One-Punch Man,Japan,"March 20, 2017",2015,TV-14,1 Season,"Anime Series, Crime TV Shows, International TV Shows","The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him, so he struggles with ennui and depression.",2017,March,Teens,Japan,"['Anime Series', 'Crime TV Shows', 'International TV Shows']"
2126,2126,70140447,TV Show,The Guild,"United States, Japan","March 2, 2019",2013,TV-14,1 Season,TV Comedies,Fantasy and reality collide when a surprisingly diverse group of online video-game addicts struggle to balance the game with personal relationships.,2019,March,Teens,United States,['TV Comedies']
2131,2131,80097594,TV Show,B: The Beginning,Japan,"March 2, 2018",2018,TV-MA,1 Season,"Anime Series, Crime TV Shows, International TV Shows","Genius investigator Keith Flick rejoins the royal police force just as serial killer ""B"" emerges. Mysterious youth Koku may be an ally, or a target.",2018,March,Adults,Japan,"['Anime Series', 'Crime TV Shows', 'International TV Shows']"
2132,2132,80156688,TV Show,Flint Town,United States,"March 2, 2018",2018,TV-MA,1 Season,"Docuseries, Science & Nature TV","Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",2018,March,Adults,United States,"['Docuseries', 'Science & Nature TV']"
2152,2152,81045888,TV Show,Green Door,Taiwan,"March 17, 2019",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A troubled psychologist returns from the U.S. and sets up a clinic in Taiwan, where mysterious patients and uncanny events shed light on his murky past.",2019,March,Adults,Taiwan,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
2154,2154,80113090,TV Show,Julie's Greenroom,United States,"March 17, 2017",2017,TV-Y,1 Season,Kids' TV,Adorable puppets stage their own musical under the watchful eye of mentor Julie Andrews in this original kids' series from the Jim Henson Company.,2017,March,Kids,United States,"[""Kids' TV""]"
2157,2157,80132738,TV Show,Samurai Gourmet,Japan,"March 17, 2017",2017,TV-PG,1 Season,"International TV Shows, TV Dramas",Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,2017,March,Older Kids,Japan,"['International TV Shows', 'TV Dramas']"
2160,2160,80112916,TV Show,Edha,Argentina,"March 16, 2018",2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",2018,March,Adults,Argentina,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']"
2162,2162,80145240,TV Show,Wild Wild Country,United States,"March 16, 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","When a controversial cult leader builds a utopian city in the Oregon desert, conflict with the locals escalates into a national scandal.",2018,March,Adults,United States,"['Crime TV Shows', 'Docuseries']"
2166,2166,80114919,TV Show,Hotel Beau Séjour,Belgium,"March 16, 2017",2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Caught in an afterlife limbo, teenage Kato investigates her own mysterious death and unravels a web of secrets in her seemingly tranquil village.",2017,March,Teens,Belgium,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2177,2177,80988860,TV Show,If I Hadn't Met You,Spain,"March 15, 2019",2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife.",2019,March,Adults,Spain,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
2184,2184,80174608,TV Show,"Love, Death & Robots",United States,"March 15, 2019",2019,TV-MA,1 Season,"TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy","Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",2019,March,Adults,United States,"['TV Action & Adventure', 'TV Horror', 'TV Sci-Fi & Fantasy']"
2185,2185,81049381,TV Show,My Pride,United States,"March 15, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas","After their mother's death, Amal and her brothers struggle to live with their authoritarian father, whose cruelty and neglect break the family apart.",2019,March,Teens,United States,"['International TV Shows', 'TV Dramas']"
2187,2187,80194956,TV Show,The Disappearance of Madeleine McCann,United States,"March 15, 2019",2019,TV-14,1 Season,"Crime TV Shows, Docuseries","The documentary takes a detailed look at the disappearance of 3-year-old Madeleine McCann, who vanished while on holiday with her family.",2019,March,Teens,United States,"['Crime TV Shows', 'Docuseries']"
2190,2190,80156538,TV Show,Top 10 Secrets and Mysteries,"United Kingdom, United States, Czech Republic","March 15, 2019",2018,TV-14,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This series investigates mysteries that persistently elude scientific explanation, such as mythical creatures, UFOs, sacred sites and more.",2019,March,Teens,United Kingdom,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2191,2191,80124723,TV Show,Turn Up Charlie,United Kingdom,"March 15, 2019",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",A down-and-out DJ plots to rebuild his music career while working as a nanny for his famous best friend's wild 11-year-old daughter.,2019,March,Adults,United Kingdom,"['British TV Shows', 'International TV Shows', 'TV Comedies']"
2200,2200,80235139,TV Show,Khotey Sikkey,India,"March 15, 2018",2011,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Five affluent youths find a new sense of purpose as they team up with a Mumbai police officer on crime-busting missions around the city.,2018,March,Teens,India,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2207,2207,80173925,TV Show,Mystery Science Theater 3000,United States,"March 15, 2018",1999,TV-14,1 Season,"TV Comedies, TV Sci-Fi & Fantasy",Hosts Joel and Mike and their robot companions offer hilarious running commentary on B movies they're forced to watch in these classic MST3K episodes.,2018,March,Teens,United States,"['TV Comedies', 'TV Sci-Fi & Fantasy']"
2210,2210,80234795,TV Show,Rishta.com,India,"March 15, 2018",2010,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Partners at an Indian matrimonial agency face endlessly challenging and often impossible demands as they help clients make the perfect match.,2018,March,Teens,India,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
2212,2212,80215154,TV Show,Secret of the Nile,Egypt,"March 15, 2018",2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","When his sister disappears while working at the Grand Hotel, a man joins the staff to get answers. Inside its posh walls, he finds love and intrigue.",2018,March,Adults,Egypt,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
2214,2214,80206360,TV Show,Tabula Rasa,Belgium,"March 15, 2018",2017,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","When a young woman with amnesia becomes a key figure in a missing persons case, she must reconstruct her memories to clear her name.",2018,March,Adults,Belgium,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
2225,2225,70230417,TV Show,Oscar's Oasis,France,"March 15, 2015",2011,TV-G,1 Season,Kids' TV,"Plucky lizard Oscar spends his time trying to avoid the hazards of the desert, including marauding chickens and bumbling adversaries.",2015,March,Kids,France,"[""Kids' TV""]"
2234,2234,80170845,TV Show,Cheer Squad,United States,"March 14, 2017",2016,TV-PG,1 Season,"Reality TV, Teen TV Shows","Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships.",2017,March,Older Kids,United States,"['Reality TV', 'Teen TV Shows']"
2236,2236,70210484,TV Show,Ken Burns: The West,United States,"March 14, 2017",1996,TV-PG,1 Season,Docuseries,Historian Ken Burns and his team bring to life the challenges Americans faced in the 19th century as they embarked on westward expansion.,2017,March,Older Kids,United States,['Docuseries']
2237,2237,81049544,TV Show,More to Say,Egypt,"March 13, 2019",2018,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","After her son dies in an accident, a legal consultant is forced to prove her innocence when she's accused of his murder.",2019,March,Teens,Egypt,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
2238,2238,81049511,TV Show,The Land of Hypocrisy,Egypt,"March 13, 2019",2018,TV-14,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",A hardworking man in a thankless job meets a mysterious doctor who sells him powerful pills that throw his life into disarray.,2019,March,Teens,Egypt,"['International TV Shows', 'TV Comedies', 'TV Sci-Fi & Fantasy']"
2240,2240,80174917,TV Show,Children of the Whales,Japan,"March 13, 2018",2017,TV-MA,1 Season,"Anime Series, International TV Shows","As a magic wielder, young archivist Chakuro knows his time is short, but everything changes when a girl from the outside appears on his island.",2018,March,Adults,Japan,"['Anime Series', 'International TV Shows']"
2243,2243,80094387,TV Show,A Man Called God,South Korea,"March 12, 2019",2010,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",2019,March,Adults,South Korea,"['Crime TV Shows', 'International TV Shows', 'Korean TV Shows']"
2244,2244,80094386,TV Show,Cain and Abel,South Korea,"March 12, 2019",2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Gifted doctor Cho-in leads a charmed life while his older brother Seon-woo seethes with jealousy in this series inspired by Biblical characters.,2019,March,Teens,South Korea,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']"
2248,2248,81049674,TV Show,Eugenie Nights,Egypt,"March 11, 2019",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","In 1940s Port Said, Kariman finds comfort and solace in the arms of an unhappily married man, who also happens to be her abusive husband's brother.",2019,March,Teens,Egypt,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
2249,2249,81049707,TV Show,This Evening,Egypt,"March 11, 2019",2017,TV-MA,1 Season,"International TV Shows, TV Dramas",The lives of a wealthy couple hiding their marital problems intersect with a group of hackers and the young women they exploit.,2019,March,Adults,Egypt,"['International TV Shows', 'TV Dramas']"
2252,2252,80073289,TV Show,Netflix Presents: The Characters,United States,"March 11, 2016",2016,TV-MA,1 Season,TV Comedies,We asked eight up-and-coming comedians for their wildest sketch and improv routines – and got a new comedy series unlike anything else.,2016,March,Adults,United States,['TV Comedies']
2258,2258,80081170,TV Show,Buddy Thunderstruck,United States,"March 10, 2017",2017,TV-PG,1 Season,"Kids' TV, TV Comedies","Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",2017,March,Older Kids,United States,"[""Kids' TV"", 'TV Comedies']"
2281,2281,80161700,TV Show,One More Time,South Korea,"March 10, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,2017,March,Teens,South Korea,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']"
2297,2297,80222770,TV Show,Cricket Fever: Mumbai Indians,India,"March 1, 2019",2019,TV-MA,1 Season,"Docuseries, International TV Shows",Follow Indian Premier League champions Mumbai Indians through the 2018 season in this series featuring insider insights and intense cricket action.,2019,March,Adults,India,"['Docuseries', 'International TV Shows']"
2300,2300,80001101,TV Show,Doomsday Preppers,United States,"March 1, 2019",2013,TV-14,1 Season,"Reality TV, Science & Nature TV",This series highlights a diverse group of survivalists as they prepare for various catastrophic scenarios that could cause civilization to collapse.,2019,March,Teens,United States,"['Reality TV', 'Science & Nature TV']"
2306,2306,80198306,TV Show,Losers,United States,"March 1, 2019",2019,TV-MA,1 Season,Docuseries,"In a ""winning is everything"" society, how do we handle failure? This series profiles athletes who have turned the agony of defeat into human triumph.",2019,March,Adults,United States,['Docuseries']
2307,2307,80202258,TV Show,Northern Rescue,Canada,"March 1, 2019",2019,TV-14,1 Season,TV Dramas,"After the sudden death of his wife, search and rescue commander John West relocates with his three kids to his rural hometown of Turtle Island Bay.",2019,March,Teens,Canada,['TV Dramas']
2318,2318,80994738,TV Show,ThirTEEN Terrors,Thailand,"March 1, 2019",2014,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries",A group of teens searches for the dark truth behind their school's mysterious and brutal history.,2019,March,Adults,Thailand,"['International TV Shows', 'TV Horror', 'TV Mysteries']"
2323,2323,80215076,TV Show,21 Thunder,Canada,"March 1, 2018",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",2018,March,Adults,Canada,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
2333,2333,80219180,TV Show,Darr Sabko Lagta Hai,India,"March 1, 2018",2015,TV-MA,1 Season,"International TV Shows, TV Horror, TV Thrillers","In this chilling horror anthology series, actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences.",2018,March,Adults,India,"['International TV Shows', 'TV Horror', 'TV Thrillers']"
2359,2359,80235325,TV Show,Mahi Way,India,"March 1, 2018",2010,TV-14,1 Season,"International TV Shows, TV Comedies","Though worried she's doomed to be single forever, Mahi embraces her vivacious and creative nature while working to tame her inner critic.",2018,March,Teens,India,"['International TV Shows', 'TV Comedies']"
2401,2401,80172593,TV Show,9 Months That Made You,United States,"March 1, 2017",2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",2017,March,Older Kids,United States,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2405,2405,80038168,TV Show,Earth's Natural Wonders,United Kingdom,"March 1, 2017",2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Earth's most sublime landscapes can also be the most forbidding. Discover how inhabitants survive and flourish in our planet's harshest environments.,2017,March,Older Kids,United Kingdom,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2406,2406,80172474,TV Show,Forces of Nature,United Kingdom,"March 1, 2017",2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This dynamic series spans the globe to explain the complex natural forces that govern the planet, from shape and color to motion and the elements.",2017,March,Older Kids,United Kingdom,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2407,2407,80172475,TV Show,India: Nature's Wonderland,United Kingdom,"March 1, 2017",2015,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",Wildlife biologist Liz Bonnin explores the natural wonders of India in this series that reveals the species and cultures unique to this ancient land.,2017,March,Older Kids,United Kingdom,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2408,2408,80135587,TV Show,Islands of the Future,United Kingdom,"March 1, 2017",2014,TV-PG,1 Season,"Docuseries, International TV Shows, Science & Nature TV","Amid rising oil and gas prices and dwindling resources, tiny islands off the coast of Europe are rethinking the future of energy.",2017,March,Older Kids,United Kingdom,"['Docuseries', 'International TV Shows', 'Science & Nature TV']"
2410,2410,80121845,TV Show,Love Is in the Air,United States,"March 1, 2017",2010,TV-PG,1 Season,"International TV Shows, TV Dramas","Toprak, who lost her baby, is hired as a wet nurse for wealthy Yusuf's motherless son. Yusuf is drawn to Toprak, but also to her scheming sister.",2017,March,Older Kids,United States,"['International TV Shows', 'TV Dramas']"
2412,2412,80097072,TV Show,NATURE: Natural Born Hustlers,United States,"March 1, 2017",2016,TV-G,1 Season,"Docuseries, Science & Nature TV","Sometimes being shady is the only way to survive, a fact these sneaky animal ""hustlers"" – including orcas, owls and otters – use to their advantage.",2017,March,Kids,United States,"['Docuseries', 'Science & Nature TV']"
2416,2416,80119382,TV Show,Servant of the People,Ukraine,"March 1, 2017",2015,TV-14,1 Season,"International TV Shows, TV Comedies","After a Ukrainian high school teacher's tirade against government corruption goes viral on social media, he finds himself the country's new president.",2017,March,Teens,Ukraine,"['International TV Shows', 'TV Comedies']"
2417,2417,80172470,TV Show,SuperNature: Wild Flyers,United Kingdom,"March 1, 2017",2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",This series examines the aerodynamics of flight and the evolutionary processes that have enabled certain species to survive by taking to the skies.,2017,March,Older Kids,United Kingdom,"['British TV Shows', 'Docuseries', 'Science & Nature TV']"
2420,2420,80158817,TV Show,Tong: Memories,South Korea,"March 1, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan.,2017,March,Teens,South Korea,"['International TV Shows', 'Korean TV Shows', 'TV Action & Adventure']"
2427,2427,80041089,TV Show,Your lie in April,Japan,"March 1, 2016",2014,TV-PG,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","After his mother's death, a piano prodigy's will to play disappears. But meeting a free-spirited girl who plays the violin turns his life around.",2016,March,Older Kids,Japan,"['Anime Series', 'International TV Shows', 'Romantic TV Shows']"
2428,2428,80178564,TV Show,My Only Love Song,South Korea,"June 9, 2017",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When things don't go her way during a shooting for her new show, a top actress runs away in an old van that guides her on a time-traveling journey.",2017,June,Adults,South Korea,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']"
2436,2436,80147919,TV Show,The Hollow,Canada,"June 8, 2018",2018,TV-Y7-FV,1 Season,"Kids' TV, TV Thrillers","Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",2018,June,Older Kids,Canada,"[""Kids' TV"", 'TV Thrillers']"
2437,2437,80233441,TV Show,The Staircase,France,"June 8, 2018",2018,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries","Accident or murder? After the mysterious death of his wife, author Michael Peterson watches his life go under the microscope.",2018,June,Adults,France,"['Crime TV Shows', 'Docuseries', 'TV Mysteries']"
2446,2446,81006334,TV Show,Super Monsters Monster Pets,United States,"June 7, 2019",2019,TV-Y,1 Season,Kids' TV,The adorably magical Monster Pets star in a series of short adventures that are big on fun – and full of surprises!,2019,June,Kids,United States,"[""Kids' TV""]"
2447,2447,80211563,TV Show,Tales of the City,United States,"June 7, 2019",2019,TV-MA,1 Season,TV Dramas,"Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane.",2019,June,Adults,United States,['TV Dramas']
2451,2451,80225953,TV Show,YOM,United States,"June 7, 2018",2016,TV-Y7,1 Season,Kids' TV,"With the mind of a human being, and the body of whichever animal he chooses to be, a young boy protects the world from danger.",2018,June,Older Kids,United States,"[""Kids' TV""]"
2480,2480,80241689,TV Show,Bangkok Bachelors,United States,"June 4, 2018",2016,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Three young men leading carefree bachelors’ lives in the city face the trials of true love when they meet three beautiful women.,2018,June,Adults,United States,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
2487,2487,80173623,TV Show,Somewhere Between,United States,"June 30, 2018",2017,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails, she'll lose her daughter forever.",2018,June,Teens,United States,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']"
2490,2490,80095411,TV Show,Gypsy,"United States, United Kingdom","June 30, 2017",2017,TV-MA,1 Season,TV Dramas,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.,2017,June,Adults,United States,['TV Dramas']
2494,2494,80244783,TV Show,Malibu Rescue: The Series,United States,"June 3, 2019",2019,TV-G,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies","On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.",2019,June,Kids,United States,"[""Kids' TV"", 'TV Action & Adventure', 'TV Comedies']"
2503,2503,80195811,TV Show,Churchill’s Secret Agents: The New Recruits,United Kingdom,"June 29, 2018",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Reality TV","In this history-steeped reality series, 14 contestants undergo the same rigorous four-day selection process as Britain's top-secret World War II spies.",2018,June,Adults,United Kingdom,"['British TV Shows', 'International TV Shows', 'Reality TV']"
2505,2505,80097225,TV Show,Kiss Me First,"United Kingdom, United States","June 29, 2018",2018,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.,2018,June,Adults,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']"
2506,2506,80242720,TV Show,Los 10 años de Peter Capusotto,United States,"June 29, 2018",2015,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Fictional personality Peter Capusotto parodies Argentine culture and rock music in a series of humorous sketches with recurring characters.,2018,June,Adults,United States,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']"
